   BENCHMARK INFORMATION
benchmark definition:    wit4java.xml
name:                    wit4java
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:06:05 BST
tool:                    wit4java 2.0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/sv-benchmarks/java/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            6.27        4.10        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            6.46        5.74        None
jayhorn-recursive/UnsatAckermann01.yml                                                  unknown                          0.19        0.24        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            7.27        6.66        None
jayhorn-recursive/UnsatAddition02.yml                                                   unknown                          0.31        0.39        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            6.19        3.48        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  unknown                          0.20        0.26        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            5.88        3.55        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            6.21        3.33        None
jbmc-regression/ArithmeticException1.yml                                                false                            6.18        3.47        None
jbmc-regression/ArithmeticException6.yml                                                false                            5.68        3.44        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            6.12        3.44        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            5.87        3.22        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          5.80        3.13        None
jbmc-regression/BufferedReaderReadLine.yml                                              unknown                          0.56        0.32        None
jbmc-regression/CharSequenceBug.yml                                                     unknown                          0.55        0.31        None
jbmc-regression/ClassCastException1.yml                                                 false                            5.78        3.21        None
jbmc-regression/ClassCastException3.yml                                                 false                            6.21        3.45        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            5.72        4.23        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            6.47        7.93        None
jbmc-regression/NullPointerException2.yml                                               false                            6.85        8.40        None
jbmc-regression/NullPointerException3.yml                                               false                            6.58        6.69        None
jbmc-regression/NullPointerException4.yml                                               false                            6.48        7.87        None
jbmc-regression/RegexMatches02.yml                                                      unknown                          0.16        0.22        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          0.20        0.26        None
jbmc-regression/StaticCharMethods02.yml                                                 unknown                          0.39        0.37        None
jbmc-regression/StaticCharMethods03.yml                                                 unknown                          0.46        0.31        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            5.75        3.11        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          0.19        0.22        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          0.49        0.23        None
jbmc-regression/StringBuilderCapLen02.yml                                               unknown                          0.57        0.32        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          0.50        0.30        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          0.51        0.28        None
jbmc-regression/StringBuilderChars02.yml                                                unknown                          0.54        0.30        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          0.22        0.25        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          0.53        0.29        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          0.16        0.16        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          0.47        0.23        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          0.52        0.29        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          0.55        0.29        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          0.49        0.31        None
jbmc-regression/StringCompare02.yml                                                     unknown                          0.51        0.31        None
jbmc-regression/StringCompare03.yml                                                     unknown                          0.51        0.48        None
jbmc-regression/StringCompare04.yml                                                     unknown                          0.50        0.27        None
jbmc-regression/StringCompare05.yml                                                     unknown                          0.48        0.36        None
jbmc-regression/StringConcatenation02.yml                                               unknown                          0.40        0.28        None
jbmc-regression/StringConcatenation03.yml                                               unknown                          0.45        0.29        None
jbmc-regression/StringConcatenation04.yml                                               unknown                          0.50        0.33        None
jbmc-regression/StringConstructors02.yml                                                unknown                          0.47        0.33        None
jbmc-regression/StringConstructors03.yml                                                unknown                          0.50        0.32        None
jbmc-regression/StringConstructors04.yml                                                unknown                          0.54        0.33        None
jbmc-regression/StringConstructors05.yml                                                unknown                          0.51        0.31        None
jbmc-regression/StringContains01.yml                                                    unknown                          0.53        0.33        None
jbmc-regression/StringContains02.yml                                                    unknown                          0.54        0.32        None
jbmc-regression/StringIndexMethods02.yml                                                unknown                          0.56        0.33        None
jbmc-regression/StringIndexMethods03.yml                                                unknown                          0.55        0.32        None
jbmc-regression/StringIndexMethods04.yml                                                unknown                          0.53        0.30        None
jbmc-regression/StringIndexMethods05.yml                                                unknown                          0.50        0.31        None
jbmc-regression/StringMiscellaneous02.yml                                               unknown                          0.55        0.32        None
jbmc-regression/StringMiscellaneous03.yml                                               unknown                          0.53        0.34        None
jbmc-regression/StringStartEnd02.yml                                                    unknown                          0.54        0.32        None
jbmc-regression/StringStartEnd03.yml                                                    unknown                          0.49        0.34        None
jbmc-regression/StringValueOf02.yml                                                     unknown                          0.22        0.27        None
jbmc-regression/StringValueOf03.yml                                                     unknown                          0.20        0.23        None
jbmc-regression/StringValueOf04.yml                                                     unknown                          0.19        0.23        None
jbmc-regression/StringValueOf05.yml                                                     unknown                          0.20        0.22        None
jbmc-regression/StringValueOf06.yml                                                     unknown                          0.19        0.22        None
jbmc-regression/StringValueOf07.yml                                                     unknown                          0.25        0.30        None
jbmc-regression/StringValueOf08.yml                                                     unknown                          0.24        0.31        None
jbmc-regression/StringValueOf09.yml                                                     unknown                          0.21        0.24        None
jbmc-regression/StringValueOf10.yml                                                     unknown                          0.52        0.34        None
jbmc-regression/SubString02.yml                                                         unknown                          0.13        0.13        None
jbmc-regression/SubString03.yml                                                         unknown                          0.16        0.18        None
jbmc-regression/TokenTest02.yml                                                         unknown                          0.14        0.15        None
jbmc-regression/Validate02.yml                                                          unknown                          0.44        0.36        None
jbmc-regression/assert2.yml                                                             false                            6.26        3.59        None
jbmc-regression/assert3.yml                                                             false                            6.12        3.55        None
jbmc-regression/assert4.yml                                                             false                            6.01        3.46        None
jbmc-regression/athrow1.yml                                                             false                            6.09        3.35        None
jbmc-regression/bug-test-gen-095.yml                                                    unknown                          0.43        0.32        None
jbmc-regression/exceptions1.yml                                                         false                            5.76        3.21        None
jbmc-regression/exceptions10.yml                                                        false                            6.49        3.54        None
jbmc-regression/exceptions11.yml                                                        false                            5.72        3.13        None
jbmc-regression/exceptions12.yml                                                        false                            5.66        3.10        None
jbmc-regression/exceptions13.yml                                                        false                            6.11        3.27        None
jbmc-regression/exceptions16.yml                                                        false                            6.36        3.89        None
jbmc-regression/exceptions2.yml                                                         false                            6.49        3.84        None
jbmc-regression/exceptions3.yml                                                         false                            6.11        3.64        None
jbmc-regression/exceptions6.yml                                                         false                            5.91        3.47        None
jbmc-regression/exceptions7.yml                                                         false                            6.71        3.64        None
jbmc-regression/exceptions8.yml                                                         false                            6.36        3.98        None
jbmc-regression/interface1.yml                                                          false                            5.66        3.19        None
jbmc-regression/java_append_char.yml                                                    false                            6.07        3.10        None
jbmc-regression/return1.yml                                                             false                            5.64        3.06        None
jbmc-regression/return2.yml                                                             false                            5.79        3.08        None
jbmc-regression/virtual2.yml                                                            false                            5.68        3.16        None
jpf-regression/ExDarko_false.yml                                                        unknown                          5.86        3.02        None
jpf-regression/ExException_false.yml                                                    unknown                          6.26        3.52        None
jpf-regression/ExGenSymExe_false.yml                                                    false                            5.55        3.04        None
jpf-regression/ExLazy_false.yml                                                         unknown                          6.23        3.72        None
jpf-regression/ExMIT_false.yml                                                          unknown                          5.56        3.10        None
jpf-regression/ExSymExe10_false.yml                                                     false                            6.10        3.13        None
