   BENCHMARK INFORMATION
benchmark definition:    wit4java3-gdart.xml
name:                    wit4java3-gdart
run sets:                SV-COMP22_assert_java.ReachSafety-Java
date:                    Tue, 2022-06-14 20:46:01 BST
tool:                    wit4java 2.0
Exception: 0
tool executable:         ./wit4java.py
options:
resource limits:
- memory:                8000.0 MB
- time:                  90 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    joss-Blade-Stealth
os:                      Linux-5.4.0-117-generic-x86_64-with-glibc2.29
cpu:                     Intel Core i7-7500U CPU @ 2.70GHz
- cores:                 4
- max frequency:         3500.0 MHz
- turbo boost enabled:   True
ram:                     16676.265983999998 MB
------------------------------------------------------------



SV-COMP22_assert_java.ReachSafety-Java
Run set 1 of 1 with options '--witness ~/gdart/${rundefinition_name}/${taskdef_name}/witness.graphml' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.84        1.56        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            2.96        1.68        None
jayhorn-recursive/UnsatAckermann01.yml                                                  unknown                          0.28        0.30        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.94        1.61        None
jayhorn-recursive/UnsatAddition02.yml                                                   unknown                          0.23        0.24        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            2.92        1.62        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  unknown                          0.25        0.26        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.90        1.63        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            2.96        1.63        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.78        1.61        None
jbmc-regression/ArithmeticException6.yml                                                false                            2.92        1.68        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            2.79        1.63        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            2.86        1.67        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            3.02        1.69        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            3.11        1.71        None
jbmc-regression/CharSequenceBug.yml                                                     false                            2.79        1.66        None
jbmc-regression/ClassCastException1.yml                                                 false                            2.94        1.66        None
jbmc-regression/ClassCastException3.yml                                                 false                            2.86        1.64        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            2.93        1.64        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            2.97        1.84        None
jbmc-regression/NullPointerException2.yml                                               false                            3.21        2.60        None
jbmc-regression/NullPointerException3.yml                                               false                            3.19        1.66        None
jbmc-regression/NullPointerException4.yml                                               false                            3.07        1.70        None
jbmc-regression/RegexMatches02.yml                                                      unknown                          0.28        0.29        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          0.21        0.22        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            2.84        1.57        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            2.82        1.69        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            2.94        1.66        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          0.23        0.24        None
jbmc-regression/StringBuilderAppend02.yml                                               false                            3.08        1.63        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            3.07        1.70        None
jbmc-regression/StringBuilderCapLen03.yml                                               false                            2.97        1.62        None
jbmc-regression/StringBuilderCapLen04.yml                                               false                            2.87        1.61        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.98        1.68        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          0.26        0.29        None
jbmc-regression/StringBuilderChars04.yml                                                false                            2.88        1.63        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          0.21        0.24        None
jbmc-regression/StringBuilderChars06.yml                                                false                            2.98        1.65        None
jbmc-regression/StringBuilderConstructors02.yml                                         false                            3.01        1.69        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         false                            3.08        1.62        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         false                            2.89        1.58        None
jbmc-regression/StringCompare02.yml                                                     false                            2.93        1.67        None
jbmc-regression/StringCompare03.yml                                                     true                             2.92        1.66        None
jbmc-regression/StringCompare04.yml                                                     false                            2.95        1.66        None
jbmc-regression/StringCompare05.yml                                                     false                            3.00        1.69        None
jbmc-regression/StringConcatenation02.yml                                               false                            3.38        2.13        None
jbmc-regression/StringConcatenation03.yml                                               false                            3.26        2.07        None
jbmc-regression/StringConcatenation04.yml                                               false                            3.04        1.92        None
jbmc-regression/StringConstructors02.yml                                                false                            3.16        1.85        None
jbmc-regression/StringConstructors03.yml                                                false                            3.36        2.14        None
jbmc-regression/StringConstructors04.yml                                                false                            3.28        2.04        None
jbmc-regression/StringConstructors05.yml                                                false                            3.61        3.10        None
jbmc-regression/StringContains01.yml                                                    false                            3.47        2.56        None
jbmc-regression/StringContains02.yml                                                    false                            2.95        1.81        None
jbmc-regression/StringIndexMethods02.yml                                                false                            3.70        3.17        None
jbmc-regression/StringIndexMethods03.yml                                                false                            2.95        1.70        None
jbmc-regression/StringIndexMethods04.yml                                                false                            3.32        2.39        None
jbmc-regression/StringIndexMethods05.yml                                                false                            3.27        2.13        None
jbmc-regression/StringMiscellaneous02.yml                                               false                            2.95        1.67        None
jbmc-regression/StringMiscellaneous03.yml                                               unknown                          3.14        2.16        None
jbmc-regression/StringStartEnd02.yml                                                    false                            3.09        1.69        None
jbmc-regression/StringStartEnd03.yml                                                    false                            3.07        1.75        None
jbmc-regression/StringValueOf02.yml                                                     unknown                          0.26        0.28        None
jbmc-regression/StringValueOf03.yml                                                     unknown                          0.20        0.21        None
jbmc-regression/StringValueOf04.yml                                                     unknown                          0.23        0.24        None
jbmc-regression/StringValueOf05.yml                                                     unknown                          0.21        0.24        None
jbmc-regression/StringValueOf06.yml                                                     unknown                          0.21        0.23        None
jbmc-regression/StringValueOf07.yml                                                     unknown                          0.21        0.21        None
jbmc-regression/StringValueOf08.yml                                                     unknown                          0.21        0.21        None
jbmc-regression/StringValueOf09.yml                                                     unknown                          0.20        0.20        None
jbmc-regression/StringValueOf10.yml                                                     false                            3.30        2.03        None
jbmc-regression/SubString02.yml                                                         unknown                          0.21        0.22        None
jbmc-regression/SubString03.yml                                                         unknown                          0.29        0.31        None
jbmc-regression/TokenTest02.yml                                                         unknown                          0.23        0.24        None
jbmc-regression/Validate02.yml                                                          false                            3.13        2.05        None
jbmc-regression/assert2.yml                                                             false                            2.96        1.67        None
jbmc-regression/assert3.yml                                                             false                            3.07        1.70        None
jbmc-regression/assert4.yml                                                             false                            2.93        1.58        None
jbmc-regression/athrow1.yml                                                             false                            2.93        1.67        None
jbmc-regression/bug-test-gen-095.yml                                                    false                            2.99        1.74        None
jbmc-regression/exceptions1.yml                                                         false                            3.35        2.03        None
jbmc-regression/exceptions10.yml                                                        false                            3.02        1.78        None
jbmc-regression/exceptions11.yml                                                        false                            3.73        3.33        None
jbmc-regression/exceptions12.yml                                                        false                            3.58        3.26        None
jbmc-regression/exceptions13.yml                                                        false                            3.05        1.75        None
jbmc-regression/exceptions16.yml                                                        false                            3.32        2.05        None
jbmc-regression/exceptions2.yml                                                         false                            3.13        1.78        None
jbmc-regression/exceptions3.yml                                                         false                            2.94        1.65        None
jbmc-regression/exceptions6.yml                                                         false                            2.94        1.61        None
jbmc-regression/exceptions7.yml                                                         false                            2.98        1.62        None
jbmc-regression/exceptions8.yml                                                         false                            2.96        1.74        None
jbmc-regression/interface1.yml                                                          false                            3.22        2.10        None
jbmc-regression/java_append_char.yml                                                    false                            3.14        1.64        None
jbmc-regression/return1.yml                                                             false                            3.07        1.68        None
jbmc-regression/return2.yml                                                             false                            3.16        1.73        None
jbmc-regression/virtual2.yml                                                            false                            2.97        1.67        None
jpf-regression/ExDarko_false.yml                                                        unknown                          3.23        1.75        None
jpf-regression/ExException_false.yml                                                    unknown                          3.40        1.99        None
jpf-regression/ExGenSymExe_false.yml                                                    false                            3.36        2.17        None
jpf-regression/ExLazy_false.yml                                                         unknown                          3.17        1.85        None
jpf-regression/ExMIT_false.yml                                                          unknown                          2.92        1.64        None
jpf-regression/ExSymExe10_false.yml                                                     false                            3.29        2.15        None
jpf-regression/ExSymExe11_false.yml                                                     false                            3.07        1.77        None
jpf-regression/ExSymExe12_false.yml                                                     false                            3.00        1.77        None
jpf-regression/ExSymExe13_false.yml                                                     false                            3.01        1.63        None
jpf-regression/ExSymExe14_false.yml                                                     false                            3.30        1.78        None
jpf-regression/ExSymExe15_false.yml                                                     false                            3.01        1.64        None
jpf-regression/ExSymExe16_false.yml                                                     false                            3.00        1.73        None
jpf-regression/ExSymExe17_false.yml                                                     false                            3.58        2.51        None
jpf-regression/ExSymExe18_false.yml                                                     false                            3.04        1.71        None
jpf-regression/ExSymExe19_false.yml                                                     false                            2.97        1.65        None
jpf-regression/ExSymExe1_false.yml                                                      false                            2.97        1.67        None
jpf-regression/ExSymExe20_false.yml                                                     false                            3.08        1.71        None
jpf-regression/ExSymExe21_false.yml                                                     false                            3.05        1.72        None
jpf-regression/ExSymExe25_false.yml                                                     false                            3.04        1.70        None
jpf-regression/ExSymExe26_false.yml                                                     false                            2.93        1.63        None
jpf-regression/ExSymExe27_false.yml                                                     false                            3.05        1.75        None
jpf-regression/ExSymExe28_false.yml                                                     false                            3.09        1.70        None
jpf-regression/ExSymExe29_false.yml                                                     false                            3.09        1.71        None
jpf-regression/ExSymExe2_false.yml                                                      false                            2.89        2.13        None
jpf-regression/ExSymExe3_false.yml                                                      false                            3.11        2.81        None
jpf-regression/ExSymExe4_false.yml                                                      false                            3.37        1.85        None
jpf-regression/ExSymExe5_false.yml                                                      false                            3.07        1.71        None
jpf-regression/ExSymExe6_false.yml                                                      false                            2.91        1.58        None
jpf-regression/ExSymExe7_false.yml                                                      false                            3.12        1.77        None
jpf-regression/ExSymExe8_false.yml                                                      false                            3.31        4.16        None
jpf-regression/ExSymExe9_false.yml                                                      false                            3.51        3.06        None
